N,P,K,temperature,humidity,ph,rainfall,label
90,42,43,20.879744,82.002744,6.502985,202.935536,rice
85,58,41,21.770462,80.319644,7.038096,226.655537,rice
80,50,45,22.548438,75.235203,7.840651,263.964248,rice
95,45,40,23.004459,71.799309,7.438660,242.864034,rice
88,40,42,24.348834,78.322565,6.852201,234.247691,rice
92,45,38,25.123456,82.567890,6.987654,256.789012,rice
87,50,44,26.456789,76.345678,7.234567,245.678901,rice
93,38,46,27.890123,79.123456,6.765432,238.901234,rice
86,52,41,28.234567,81.987654,7.123456,251.234567,rice
91,43,43,29.567890,74.765432,6.890123,247.890123,rice
20,50,30,25.344567,89.234567,5.987654,150.234567,maize
25,45,35,26.789012,85.678901,6.123456,165.789012,maize
22,48,32,27.123456,87.234567,6.345678,160.456789,maize
28,42,38,28.456789,83.456789,6.567890,170.123456,maize
24,55,30,29.789012,88.789012,6.789012,155.678901,maize
26,46,36,30.123456,84.123456,6.901234,168.901234,maize
23,51,33,31.456789,86.567890,6.234567,162.345678,maize
27,44,37,32.789012,82.890123,6.456789,172.012345,maize
21,53,31,33.123456,89.123456,6.678901,158.678901,maize
29,41,39,34.456789,84.456789,6.890123,175.234567,maize
15,30,15,30.123456,70.234567,6.123456,100.123456,chickpea
18,35,18,31.456789,72.567890,6.345678,110.456789,chickpea
12,28,12,32.789012,68.890123,6.567890,95.789012,chickpea
20,32,16,33.123456,74.123456,6.789012,105.123456,chickpea
16,38,14,34.456789,71.456789,6.901234,98.456789,chickpea
19,33,17,35.789012,73.789012,6.234567,108.789012,chickpea
13,29,13,36.123456,69.123456,6.456789,92.123456,chickpea
21,31,19,37.456789,75.456789,6.678901,102.456789,chickpea
17,36,15,38.789012,72.789012,6.890123,96.789012,chickpea
14,27,11,39.123456,70.123456,6.012345,91.012345,chickpea
35,50,25,22.123456,65.234567,6.890123,80.123456,kidneybeans
38,55,28,23.456789,67.567890,7.123456,85.456789,kidneybeans
32,48,22,24.789012,63.890123,7.345678,75.789012,kidneybeans
40,52,30,25.123456,69.123456,7.567890,90.123456,kidneybeans
36,58,26,26.456789,66.456789,7.678901,82.456789,kidneybeans
39,53,29,27.789012,68.789012,7.234567,87.789012,kidneybeans
33,49,23,28.123456,64.123456,7.456789,78.123456,kidneybeans
41,51,31,29.456789,70.456789,7.678901,92.456789,kidneybeans
37,56,27,30.789012,67.789012,7.890123,84.789012,kidneybeans
34,47,24,31.123456,65.123456,7.012345,76.012345,kidneybeans
25,60,35,18.123456,75.234567,7.123456,120.123456,pigeonpeas
28,65,38,19.456789,77.567890,7.345678,130.456789,pigeonpeas
22,58,32,20.789012,73.890123,7.567890,115.789012,pigeonpeas
30,62,40,21.123456,79.123456,7.789012,135.123456,pigeonpeas
26,68,36,22.456789,76.456789,7.890123,125.456789,pigeonpeas
29,63,39,23.789012,78.789012,7.234567,132.789012,pigeonpeas
23,59,33,24.123456,74.123456,7.456789,118.123456,pigeonpeas
31,61,41,25.456789,80.456789,7.678901,138.456789,pigeonpeas
27,66,37,26.789012,77.789012,7.890123,128.789012,pigeonpeas
24,57,34,27.123456,75.123456,7.012345,122.012345,pigeonpeas
45,85,60,15.123456,85.234567,6.123456,250.123456,mothbeans
48,90,63,16.456789,87.567890,6.345678,260.456789,mothbeans
42,83,57,17.789012,83.890123,6.567890,245.789012,mothbeans
50,87,65,18.123456,89.123456,6.789012,265.123456,mothbeans
46,92,61,19.456789,86.456789,6.890123,255.456789,mothbeans
49,88,64,20.789012,88.789012,6.234567,262.789012,mothbeans
43,84,58,21.123456,84.123456,6.456789,248.123456,mothbeans
51,86,66,22.456789,90.456789,6.678901,268.456789,mothbeans
47,91,62,23.789012,87.789012,6.890123,258.789012,mothbeans
44,82,59,24.123456,85.123456,6.012345,242.012345,mothbeans
60,80,45,25.123456,80.234567,7.123456,180.123456,mungbean
65,85,50,26.456789,82.567890,7.345678,190.456789,mungbean
58,78,43,27.789012,78.890123,7.567890,175.789012,mungbean
70,82,55,28.123456,84.123456,7.789012,195.123456,mungbean
62,88,48,29.456789,81.456789,7.890123,185.456789,mungbean
68,83,52,30.789012,83.789012,7.234567,192.789012,mungbean
59,79,44,31.123456,79.123456,7.456789,178.123456,mungbean
72,81,56,32.456789,85.456789,7.678901,198.456789,mungbean
64,87,49,33.789012,82.789012,7.890123,188.789012,mungbean
61,76,46,34.123456,80.123456,7.012345,182.012345,mungbean
55,75,40,28.123456,70.234567,6.123456,150.123456,blackgram
58,80,45,29.456789,72.567890,6.345678,160.456789,blackgram
52,73,38,30.789012,68.890123,6.567890,145.789012,blackgram
65,77,48,31.123456,74.123456,6.789012,165.123456,blackgram
57,83,42,32.456789,71.456789,6.890123,155.456789,blackgram
63,78,46,33.789012,73.789012,6.234567,162.789012,blackgram
54,74,39,34.123456,69.123456,6.456789,148.123456,blackgram
67,76,49,35.456789,75.456789,6.678901,168.456789,blackgram
59,82,43,36.789012,72.789012,6.890123,158.789012,blackgram
56,71,41,37.123456,70.123456,6.012345,152.012345,blackgram
70,90,50,22.123456,75.234567,6.890123,200.123456,lentil
75,95,55,23.456789,77.567890,7.123456,210.456789,lentil
68,88,48,24.789012,73.890123,7.345678,195.789012,lentil
80,92,60,25.123456,79.123456,7.567890,215.123456,lentil
72,98,52,26.456789,76.456789,7.678901,205.456789,lentil
78,93,58,27.789012,78.789012,7.234567,212.789012,lentil
69,87,49,28.123456,74.123456,7.456789,198.123456,lentil
82,91,61,29.456789,80.456789,7.678901,218.456789,lentil
74,96,53,30.789012,77.789012,7.890123,208.789012,lentil
71,85,51,31.123456,75.123456,7.012345,202.012345,lentil
40,70,40,20.123456,60.234567,6.123456,100.123456,pomegranate
45,75,45,21.456789,62.567890,6.345678,110.456789,pomegranate
38,68,38,22.789012,58.890123,6.567890,95.789012,pomegranate
50,72,50,23.123456,64.123456,6.789012,115.123456,pomegranate
42,78,42,24.456789,61.456789,6.890123,105.456789,pomegranate
48,73,48,25.789012,63.789012,6.234567,112.789012,pomegranate
39,69,39,26.123456,59.123456,6.456789,98.123456,pomegranate
52,71,52,27.456789,65.456789,6.678901,118.456789,pomegranate
44,77,44,28.789012,62.789012,6.890123,108.789012,pomegranate
41,66,41,29.123456,60.123456,6.012345,102.012345,pomegranate
30,50,30,25.123456,55.234567,6.890123,80.123456,banana
